id,order,start_at,script_jp,script_en
playerenglishnews_7_70033_1,1,0,"アメリカでは元日の前日は仕事の休日ではないが、多くの雇用者は従業員を早く返す。","While New Year's Eve isn't a day off from work in the United States, many employers let their employees go home early."
playerenglishnews_7_70033_2,2,8848,"その後は、人々は新年を待ちながらパーティーをして時間を過ごしがちだ。","After that, the people tend to spend their time partying, awaiting the New Year."
playerenglishnews_7_70033_3,3,14924,"レストランやクラブは正月の特別なイベントを開催する。","Restaurants and clubs host special New Year's events."
playerenglishnews_7_70033_4,4,19620,"全国で花火大会も行われる。","Firework displays are held all over the country."
playerenglishnews_7_70033_5,5,23761,"深夜零時の一分前から、人々はカウントダウンをし始める。","From a minute before midnight, people start counting down."
playerenglishnews_7_70033_6,6,27953,"おそらく最も<b>象徴的な*</b>カウントダウンはタイムズスクエアで行われるものでしょう。","Perhaps the most <b>iconic*</b> countdown is the one in Times Square."
playerenglishnews_7_70033_7,7,33023,"新年を迎えるとすぐに人々は歓声を上げ、キスをし、『オールドラングサイン』というスコットランドの民謡を歌う。","Once people welcome the new year, everyone cheers, kisses, and sings a Scottish folksong called Auld Lang Syne."
playerenglishnews_7_70033_8,8,42182,"なんとこの曲は『蛍の光』のメロディの由来する曲である。","This song is in fact the song which the melody of ""Hotaru no Hikari"" came from."
playerenglishnews_7_70033_9,9,48167,"そしてここからパーティーの本番が始まり、多くの人たちは夜明けまでパーティーをする。","From there the real party begins, and many party till dawn."
playerenglishnews_7_70033_10,10,53173,"そしてその日の残りはパーティーから回復するために過ごされる。","The rest of the day is spent to recover from the party."
