id,order,start_at,script_jp,script_en
playerenglishnews_9_96623_1,1,0,"<small>瑠奈: </small>ねえ、聞いて！","<small>Luna: </small>Hey, I have something to tell you!"
playerenglishnews_9_96623_2,2,4810,"<small>ブレア: </small>何かいいことあった？","<small>Blair: </small>Did something good happen?"
playerenglishnews_9_96623_3,3,6920,"<small>瑠奈: </small>この間話してた男の子覚えてる？","<small>Luna: </small>Do you remember the boy I was talking about last time?"
playerenglishnews_9_96623_4,4,11700,"<small>瑠奈: </small><b>彼からついに告白されたの！*</b>","<small>Luna: </small><b>He finally asked me out!*</b>"
playerenglishnews_9_96623_5,5,14830,"<small>ブレア: </small>わあ！よかったね！","<small>Blair: </small>Wow, I'm so happy for you!"
playerenglishnews_9_96623_6,6,17820,"<small>瑠奈: </small>ありがとう。","<small>Luna: </small>Thank you."
playerenglishnews_9_96623_7,7,19910,"<small>瑠奈: </small>すごく時間かかったわ！","<small>Luna: </small>It took so long!"
playerenglishnews_9_96623_8,8,22890,"<small>瑠奈: </small>ずっと待ってたのに！","<small>Luna: </small>I waited for forever!"
playerenglishnews_9_96623_9,9,26180,"<small>ブレア: </small>どれくらいの間連絡とってるの？","<small>Blair: </small>How long have you guys been texting?"
playerenglishnews_9_96623_10,10,28940,"<small>瑠奈: </small>3か月間毎日だよ。","<small>Luna: </small>Every day for three months."
playerenglishnews_9_96623_11,11,32440,"<small>ブレア: </small>初デートはどこ行くの？","<small>Blair: </small>Where are you going on your first date?"
playerenglishnews_9_96623_12,12,35360,"<small>瑠奈: </small>まだ決めてないよ。","<small>Luna: </small>We haven't decided yet."
playerenglishnews_9_96623_13,13,38220,"<small>ブレア: </small>花火大会に行ったら？","<small>Blair: </small>Why don't you go to see the fireworks?"
